"id","topic","text","treatment date","treatment country","treatment given"
"1","chest pain","Chest pain can be cardiac, respiratory, GI, or MSK. Always rule out acute coronary syndrome (ACS) with ECG and troponins.","2023-10-27","USA","ECG and Troponin T/I test"
"2","leg pain","Leg pain causes include deep vein thrombosis (DVT), muscle strain, neuropathy, or peripheral arterial disease. Assess for Homan's sign and risk factors.","2023-10-27","Canada","Compression Stockings + Duplex Ultrasound"
"3","fever","Fever approach: complete history, travel, exposures, focused exam, and look for red flags like hypotension or altered mental status (AMS).","2023-10-27","Mexico","Focused Exam and Blood Cultures"
"4","hypertension","Hypertension management involves lifestyle modification (DASH diet, exercise) and pharmacotherapy (ACEi, ARBs, Thiazides, CCBs). Target BP varies by comorbidities.","2023-10-27","Brazil","Lisinopril 10 mg PO daily"
"5","diabetes mellitus type 2","DM2 initial treatment: metformin and lifestyle changes. Monitor HbA1c, fasting glucose, and watch for complications like retinopathy and neuropathy.","2023-10-27","Argentina","Metformin 500 mg PO BID"
"6","acute kidney injury","AKI is classified as pre-renal (volume depletion), intrinsic (ATN, AIN), or post-renal (obstruction). Check BUN/Cr ratio and fractional excretion of sodium (FENa).","2023-10-27","Chile","IV Normal Saline fluid bolus"
"7","asthma exacerbation","Asthma exacerbation treatment: SABA (albuterol), systemic corticosteroids, and oxygen if SpO2 < 90%. Assess peak expiratory flow rate (PEFR).","2023-10-27","Colombia","Albuterol MDI 2 puffs PRN or Nebulizer"
"8","migraine","Migraine abortive therapy: Triptans, NSAIDs, or CGRP antagonists. Prophylaxis includes beta-blockers, topiramate, or CGRP monoclonal antibodies.","2023-10-27","Peru","Sumatriptan 50-100 mg PO"
"9","hypothyroidism","Hypothyroidism treatment: Levothyroxine (T4 replacement). Dose adjusted based on TSH levels, typically aiming for TSH in the normal range.","2023-10-27","UK","Levothyroxine 50 mcg PO daily"
"10","pneumonia","Community-Acquired Pneumonia (CAP) coverage: macrolides or doxycycline, or fluoroquinolones for outpatients. Use CURB-65 for severity assessment.","2023-10-27","France","Azithromycin 500mg PO daily"
"11","atrial fibrillation","AFib management: rate control (beta-blockers, CCBs), rhythm control, and stroke prophylaxis using the CHA2DS2-VASc score to guide anticoagulation.","2023-10-27","Germany","Diltiazem 30 mg PO QID for rate control"
